time,serviceTime
2.246,2.245999999999999541
4.525,4.525000000000000337
7.087,4.94099999999999893
9.661,5.70699999999999893
11.532,4.6719999999999988
11.864,3.065999999999999817
14.074,8.48499999999999939
14.279,4.16799999999999925
16.447,3.66099999999999957
18.245,2.567999999999999607
21.235,4.407999999999999462
23.826,4.623999999999998755
24.533,3.743999999999999755
27.048,4.554999999999999692
28.06,2.576999999999999952
28.591,3.320999999999999717
30.008,4.20299999999999939
30.536,4.791999999999999795
34.108,5.804999999999999685
34.268,3.630999999999999317
39.393,6.14599999999999899
40.601,4.41799999999999924
42.967,4.386999999999998657
44.528,4.56400000000000004
46.565,4.259000000000000327
48.311,3.72999999999999952
50.473,7.811999999999999355
51.573,2.161999999999999913
52.085,7.073999999999999825
53.47,2.81499999999999949
54.361,6.516
54.931,3.482000000000000192
57.951,4.17900000000000025
58.095,2.955000000000000057
58.501,1.655999999999999688
60.326,3.424999999999999805
61.639,2.884999999999999767
63.708,3.117999999999999425
67.031,4.589999999999999842
70.346,3.028999999999999905
70.625,5.35299999999999973
72.464,4.0679999999999996
72.879,1.078999999999999734
75.171,5.46400000000000039
77.737,1.743999999999999766
78.08,6.099000000000000175
78.811,2.186999999999999378
80.039,6.05799999999999981
81.862,3.904999999999999342
82.334,3.285999999999999577
82.79,2.030999999999999687
84.114,7.10299999999999973
87.543,5.467999999999999945
89.448,3.47499999999999963
91.406,6.05999999999999869
92.418,3.241999999999999977
93.152,4.735999999999998855
93.842,3.266999999999999445
94.856,3.070999999999999717
95.023,3.714999999999999842
96.052,1.967000000000000072
97.047,4.93099999999999914
99.382,4.881999999999999655
99.591,0.931999999999999935
101.37,5.17399999999999946
104.219,9.12899999999999775
106.088,7.13799999999999988
108.109,6.644999999999999535
110.744,6.062999999999998805
111.599,2.581999999999999837
112.273,6.185999999999999925
115.003,4.170999999999999362
115.063,2.012999999999999891
115.15,30.10999999999999937
116.388,3.219999999999999737
117.466,3.088999999999999512
118.066,16.314
118.909,3.644000000000000112
120.132,4.510999999999999217
121.337,3.326999999999999952
122.773,6.198000000000000375
124.469,4.381999999999999657
127.064,5.27699999999999922
128.591,6.0079999999999991
129.8,3.636999999999999552
131.34,2.388999999999999335
131.341,7.187999999999998805
132.537,2.629999999999999882
134.096,16.27799999999999863
136.623,4.71400000000000039
137.265,1.943999999999999945
138.565,6.260999999999999205
139.424,3.552999999999999925
140.223,2.591999999999999627
141.273,3.581999999999999832
142.382,2.203999999999999731
142.747,8.29400000000000045
143.264,3.07200000000000005
145.51,21.07499999999999566
147.219,4.99399999999999975
149.33,6.294999999999999905
149.593,4.352000000000000295
150.893,2.764999999999999665
152.269,38.253
154.166,3.56400000000000004
154.537,5.66300000000000023
157.523,71.06600000000000225
159.44,5.34499999999999885
162.115,7.35099999999999906
163.45,4.48700000000000008
164.155,6.53299999999999945
165.441,1.840999999999999738
166.843,14.46499999999999981
169.779,8.276999999999997435
169.958,3.024999999999999455
172.08,7.587999999999999155
173.859,3.092999999999999962
174.106,5.982999999999998735
176.695,4.184999999999998707
180.729,5.573999999999999825
182.494,5.260999999999999215
184.473,5.06400000000000004
186.073,5.160000000000000125
187.005,3.224000000000000187
188.77,3.05699999999999948
190.887,2.083000000000000176
191.26,4.275000000000000342
192.297,3.43499999999999959
194.082,2.33399999999999962
194.496,4.728999999999999185
196.222,3.604000000000000077
197.968,1.803999999999999816
198.606,4.134000000000000327
199.646,2.58699999999999973
201.241,5.48299999999999874
202.204,3.43499999999999959
204.52,3.977999999999999742
204.926,2.660999999999999577
209.038,2.857000000000000195
209.688,5.46299999999999917
211.429,3.953999999999999707
212.292,2.126999999999999772
213.468,2.200000000000000168
218.804,6.22799999999999973
219.052,3.799999999999999802
221.994,4.32300000000000038
222.028,2.245000000000000096
223.741,3.657000000000000015
226.642,3.799999999999999802
229.99,5.004999999999998985
231.553,3.570999999999999712
232.234,1.199999999999999728
234.348,5.917999999999999235
234.84,1.47199999999999997
235.873,4.352000000000000295
239.22,5.48099999999999985
